[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:05:24] Previous Value: 75, New Value: 76, vBBU: vbbu1
   [2025-05-13 18:05:25] Previous Value: 76, New Value: 77, vBBU: vbbu1
   [2025-05-13 18:05:26] Previous Value: 77, New Value: 78, vBBU: vbbu1
   [2025-05-13 18:05:27] Previous Value: 78, New Value: 79, vBBU: vbbu1
   [2025-05-13 18:05:28] Previous Value: 79, New Value: 80, vBBU: vbbu1
   [2025-05-13 18:05:29] Previous Value: 80, New Value: 81, vBBU: vbbu1
   [2025-05-13 18:05:30] Previous Value: 81, New Value: 82, vBBU: vbbu1
   [2025-05-13 18:05:31] Previous Value: 82, New Value: 83, vBBU: vbbu1
   [2025-05-13 18:05:32] Previous Value: 83, New Value: 84, vBBU: vbbu1
   [2025-05-13 18:05:33] Previous Value: 84, New Value: 85, vBBU: vbbu1
   [2025-05-13 18:05:34] Previous Value: 85, New Value: 86, vBBU: vbbu1
   [2025-05-13 18:05:35] Previous Value: 86, New Value: 87, vBBU: vbbu1
   [2025-05-13 18:05:36] Previous Value: 87, New Value: 88, vBBU: vbbu1
   [2025-05-13 18:05:37] Previous Value: 88, New Value: 89, vBBU: vbbu1
   [2025-05-13 18:05:38] Previous Value: 89, New Value: 90, vBBU: vbbu1
   [2025-05-13 18:05:39] Previous Value: 90, New Value: 91, vBBU: vbbu1
   [2025-05-13 18:05:40] Previous Value: 91, New Value: 92, vBBU: vbbu1
   [2025-05-13 18:05:42] Previous Value: 92, New Value: 93, vBBU: vbbu1
   [2025-05-13 18:05:43] Previous Value: 93, New Value: 94, vBBU: vbbu1
   [2025-05-13 18:05:44] Previous Value: 94, New Value: 95, vBBU: vbbu1
   [2025-05-13 18:05:45] Previous Value: 95, New Value: 96, vBBU: vbbu1
   [2025-05-13 18:05:46] Previous Value: 96, New Value: 97, vBBU: vbbu1
   [2025-05-13 18:05:47] Previous Value: 97, New Value: 98, vBBU: vbbu1
   [2025-05-13 18:05:48] Previous Value: 98, New Value: 99, vBBU: vbbu1
   [2025-05-13 18:05:49] Previous Value: 99, New Value: 100, vBBU: vbbu1
   [2025-05-13 18:05:50] Previous Value: 100, New Value: 101, vBBU: vbbu1
   [2025-05-13 18:05:51] Previous Value: 101, New Value: 102, vBBU: vbbu1
   [2025-05-13 18:05:52] Previous Value: 102, New Value: 103, vBBU: vbbu1
